"County","DeathCount","Gender","Race_Ethnicity","LocationID","LatLong"
"San Jacinto County",433.6,"Male","White",48407,"(30.583279, -95.168748)"
"San Patricio County",474.9,"Male","White",48409,"(28.003671, -97.511283)"
"San Saba County",412.4,"Male","White",48411,"(31.158407, -98.817279)"
"Schleicher County",423,"Male","White",48413,"(30.892459, -100.537075)"
"Scurry County",532.1,"Male","White",48415,"(32.73961, -100.917806)"
"Shackelford County",524.3,"Male","White",48417,"(32.739298, -99.355198)"
"Shelby County",519.1,"Male","White",48419,"(31.794184, -94.142352)"
"Sherman County",630.2,"Male","White",48421,"(36.272059, -101.893541)"
"Smith County",534.8,"Male","White",48423,"(32.377685, -95.270483)"
"Somervell County",482,"Male","White",48425,"(32.226978, -97.772446)"
"Starr County",309.5,"Male","White",48427,"(26.565759, -98.749657)"
"Stephens County",593.8,"Male","White",48429,"(32.737809, -98.833384)"
"Sterling County",390.8,"Male","White",48431,"(31.833036, -101.051409)"
"Stonewall County",620,"Male","White",48433,"(33.175961, -100.255465)"
"Sutton County",420.1,"Male","White",48435,"(30.493286, -100.538026)"
"Swisher County",441.9,"Male","White",48437,"(34.530892, -101.731801)"
"Tarrant County",417.8,"Male","White",48439,"(32.776215, -97.286653)"
"Taylor County",527.1,"Male","White",48441,"(32.301345, -99.892274)"
"Terrell County",507.3,"Male","White",48443,"(30.233267, -102.079592)"
"Terry County",450.3,"Male","White",48445,"(33.170742, -102.331846)"
"Throckmorton County",492.7,"Male","White",48447,"(33.178779, -99.208866)"
"Titus County",503.2,"Male","White",48449,"(33.221409, -94.964483)"
"Tom Green County",307.5,"Male","White",48451,"(31.407797, -100.464066)"
"Travis County",300.4,"Male","White",48453,"(30.334783, -97.788007)"
"Trinity County",567.1,"Male","White",48455,"(31.092163, -95.136108)"
"Tyler County",565.9,"Male","White",48457,"(30.770293, -94.374849)"
"Upshur County",525.9,"Male","White",48459,"(32.741323, -94.944141)"
"Upton County",594.3,"Male","White",48461,"(31.371874, -102.037382)"
"Uvalde County",399.9,"Male","White",48463,"(29.359795, -99.763448)"
"Val Verde County",434.7,"Male","White",48465,"(29.893424, -101.148194)"
"Van Zandt County",531.1,"Male","White",48467,"(32.569053, -95.835594)"
"Victoria County",429.1,"Male","White",48469,"(28.795155, -96.973428)"
"Walker County",373.6,"Male","White",48471,"(30.747205, -95.574661)"
"Waller County",436.5,"Male","White",48473,"(30.012818, -95.994394)"
"Ward County",695.5,"Male","White",48475,"(31.514446, -103.100004)"
"Washington County",419.7,"Male","White",48477,"(30.220468, -96.406738)"
"Webb County",385.2,"Male","White",48479,"(27.762264, -99.337447)"
"Wharton County",400.3,"Male","White",48481,"(29.277618, -96.231817)"
"Wheeler County",553.5,"Male","White",48483,"(35.40249, -100.269358)"
"Wichita County",484.6,"Male","White",48485,"(33.985825, -98.702083)"
"Wilbarger County",486.5,"Male","White",48487,"(34.078681, -99.241511)"
"Willacy County",334.5,"Male","White",48489,"(26.471276, -97.682383)"
"Williamson County",297.5,"Male","White",48491,"(30.65376, -97.600993)"
"Wilson County",468.4,"Male","White",48493,"(29.176604, -98.093519)"
"Winkler County",732.5,"Male","White",48495,"(31.850587, -103.053204)"
"Wise County",471.1,"Male","White",48497,"(33.218652, -97.652229)"
"Wood County",519.1,"Male","White",48499,"(32.790863, -95.380149)"
"Yoakum County",523.9,"Male","White",48501,"(33.165632, -102.816631)"
"Young County",574.9,"Male","White",48503,"(33.176675, -98.684821)"
"Zapata County",309.4,"Male","White",48505,"(27.000684, -99.174828)"
"Zavala County",420.1,"Male","White",48507,"(28.866334, -99.76174)"
"Anderson County",375.2,"Female","White",48001,"(31.818582, -95.653925)"
"Andrews County",380.2,"Female","White",48003,"(32.302021, -102.632247)"
"Angelina County",291.7,"Female","White",48005,"(31.258117, -94.613734)"
"Aransas County",266.6,"Female","White",48007,"(28.120937, -96.991962)"
"Archer County",311.2,"Female","White",48009,"(33.617932, -98.683651)"
"Armstrong County",384,"Female","White",48011,"(34.965465, -101.357628)"
"Atascosa County",289,"Female","White",48013,"(28.888644, -98.530393)"
"Austin County",247.3,"Female","White",48015,"(29.88676, -96.2835)"
"Bailey County",303.3,"Female","White",48017,"(34.067759, -102.819187)"
"Bandera County",280.4,"Female","White",48019,"(29.754297, -99.258457)"
"Bastrop County",275.4,"Female","White",48021,"(30.105996, -97.319446)"
"Baylor County",301.3,"Female","White",48023,"(33.615467, -99.209649)"
"Bee County",270.3,"Female","White",48025,"(28.411146, -97.743253)"
"Bell County",264.8,"Female","White",48027,"(31.045863, -97.482712)"
"Bexar County",283,"Female","White",48029,"(29.453009, -98.524606)"
"Blanco County",186.2,"Female","White",48031,"(30.272461, -98.397174)"
"Borden County",343,"Female","White",48033,"(32.73961, -101.432429)"
"Bosque County",270.1,"Female","White",48035,"(31.905356, -97.634677)"
"Bowie County",411.1,"Female","White",48037,"(33.448664, -94.416258)"
"Brazoria County",296.4,"Female","White",48039,"(29.192432, -95.462105)"
"Brazos County",268.6,"Female","White",48041,"(30.670047, -96.301543)"
"Brewster County",302.8,"Female","White",48043,"(29.81452, -103.250155)"
"Briscoe County",303.5,"Female","White",48045,"(34.529564, -101.208094)"
"Brooks County",199.8,"Female","White",48047,"(27.037142, -98.227611)"
"Brown County",307.8,"Female","White",48049,"(31.777174, -98.999606)"
"Burleson County",260.9,"Female","White",48051,"(30.499639, -96.621876)"
"Burnet County",219.3,"Female","White",48053,"(30.797542, -98.182888)"
"Caldwell County",225.3,"Female","White",48055,"(29.840307, -97.629289)"
"Calhoun County",285.6,"Female","White",48057,"(28.470103, -96.645264)"
"Callahan County",341,"Female","White",48059,"(32.303606, -99.373446)"
"Cameron County",164,"Female","White",48061,"(26.133588, -97.544803)"
"Camp County",364.4,"Female","White",48063,"(32.981536, -94.975645)"
"Carson County",377.6,"Female","White",48065,"(35.403924, -101.35697)"
"Cass County",370.3,"Female","White",48067,"(33.080237, -94.34325)"
"Castro County",317.2,"Female","White",48069,"(34.530548, -102.257559)"
"Chambers County",291.4,"Female","White",48071,"(29.745536, -94.609789)"
"Cherokee County",360,"Female","White",48073,"(31.84112, -95.168269)"
"Childress County",314.6,"Female","White",48075,"(34.529714, -100.208556)"
"Clay County",350.4,"Female","White",48077,"(33.784654, -98.205065)"
"Cochran County",322.5,"Female","White",48079,"(33.601838, -102.818093)"
"Coke County",248.2,"Female","White",48081,"(31.89263, -100.527805)"
"Coleman County",322.9,"Female","White",48083,"(31.776377, -99.45247)"
"Collin County",217.8,"Female","White",48085,"(33.190918, -96.565087)"
"Collingsworth County",386.3,"Female","White",48087,"(34.963311, -100.268348)"
"Colorado County",273.3,"Female","White",48089,"(29.621338, -96.533325)"
"Comal County",238.6,"Female","White",48091,"(29.812207, -98.289011)"
"Comanche County",320.7,"Female","White",48093,"(31.95219, -98.561002)"
"Concho County",244.5,"Female","White",48095,"(31.329231, -99.863384)"
"Cooke County",336.8,"Female","White",48097,"(33.641809, -97.204001)"
"Coryell County",302.5,"Female","White",48099,"(31.395079, -97.800221)"
"Cottle County",328.2,"Female","White",48101,"(34.081151, -100.284343)"
"Crane County",442.3,"Female","White",48103,"(31.43088, -102.511613)"
"Crockett County",349.6,"Female","White",48105,"(30.727957, -101.413014)"
"Crosby County",289.6,"Female","White",48107,"(33.612984, -101.303773)"
"Culberson County",311.7,"Female","White",48109,"(31.457503, -104.516424)"
"Dallam County",323.3,"Female","White",48111,"(36.272944, -102.596539)"
"Dallas County",256.8,"Female","White",48113,"(32.773775, -96.773226)"
"Dawson County",317.7,"Female","White",48115,"(32.739263, -101.945821)"
"Deaf Smith County",310.4,"Female","White",48117,"(34.964992, -102.595958)"
"Delta County",363.8,"Female","White",48119,"(33.388888, -95.66343)"
"Denton County",229.3,"Female","White",48121,"(33.209951, -97.11254)"
"DeWitt County",245.9,"Female","White",48123,"(29.085185, -97.361764)"
"Dickens County",301.7,"Female","White",48125,"(33.613871, -100.782481)"
"Dimmit County",234.3,"Female","White",48127,"(28.422438, -99.751303)"
"Donley County",391.2,"Female","White",48129,"(34.964522, -100.813885)"
"Duval County",304.6,"Female","White",48131,"(27.686159, -98.514196)"
"Eastland County",315.4,"Female","White",48133,"(32.332842, -98.832027)"
"Ector County",464.5,"Female","White",48135,"(31.869514, -102.545049)"
"Edwards County",260.7,"Female","White",48137,"(29.981162, -100.305712)"
"Ellis County",276.1,"Female","White",48139,"(32.359899, -96.79456)"
"El Paso County",268,"Female","White",48141,"(31.775248, -106.244989)"
"Erath County",335.6,"Female","White",48143,"(32.240439, -98.21503)"
